title,date
Плехановцы выстраивают бизнес-процессы и архитектуру с помощью ИТ-инструментов на мастер-классах компании Sila Union,2025-11
Коммерсантъ: Плехановский университет взял курс на биоэкономику,2025-11
Председатель Студенческого научного общества Плехановки о роли науки в профориентации школьников на Форуме активистов студенческих научных сообществ,2025-11
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2025-11
Искусственный интеллект и цифровая медицина снизят косвенные экономические потери – исследование плехановских учёных в ведущем международном журнале о старении,2025-10
Неделя круглых столов: студенты Плехановки обсудили актуальные научные темы,2025-10
"Память поколений: Профсоюзный комитет РЭУ выпустил монографию, посвященную 80-летию Победы в Великой Отечественной войне",2025-10
Новые вызовы и новые возможности: место искусственного интеллекта в жизни человека обсудили на международной конференции в Плехановском университете,2025-10
Искусственный интеллект в обучении: результаты опроса Студенческого научного общества Плехановки,2025-10
В Плехановском университете открыт способ эффективного управления сложными сетевыми структурами,2025-10
Всероссийский лекторий РНФ: Плехановский университет проводит просветительскую акцию,2025-10
Наука — для всех! Плехановский университет подводит итоги международного фестиваля «НАУКА 0+»,2025-10
Международное сотрудничество в цифровых технологиях: Плехановский университет на GITEX 2025,2025-10
Замглавы Минобрнауки России Андрей Омельчук принял участие в открытии R&D Центра пищевых биотехнологий в Плехановском университете,2025-10
Эксперт Плехановского университета представила лучшие практики подготовки специалистов в сфере ИИ на международной конференции,2025-10
Заинтересовать будущих исследователей: Плехановский университет проводит увлекательные занятия для школьников в рамках фестиваля NAUKA 0+,2025-10
Ректор Плехановского университета Иван Лобанов — участник заседания научно-экспертного совета Морской коллегии РФ под председательством помощника Президента РФ Николая Патрушева и президента НИЦ «Курчатовский институт» Михаила Ковальчука,2025-10
В Плехановском университете стартовал ежегодный Конкурс на выполнение научно-исследовательских работ по «внутренним грантам»,2025-10
В Плехановском университете проходит Международный фестиваль науки NAUKA 0+,2025-10
Плехановский университет представил разработанную в вузе Цифровую систему мониторинга на Всероссийской конференции «Территория цифрового РОСТа»,2025-10
"В диалоге с будущими работодателями: День индустриального партнёра в Высшей школе кибертехнологий, математики и статистики Плехановского университета",2025-10
Трансформация АПК для достижения национальных целей развития: научная работа плехановских учёных,2025-10
"Микрозелень для персонализированного питания: разработка аспиранта Плехановки — одна из лучших в секции «Агро-, био- и продовольственные технологии» на форуме «Наука будущего — наука молодых»",2025-10
Плехановцы — в финале конкурса Минобрнауки России «Наука будущего — наука молодых»,2025-10
Плехановский университет на форуме «Наука будущего — наука молодых» с участием Заместителя Министра науки и высшего образования РФ Дениса Секиринского,2025-10
Мастер-классы по автоматизации бизнес-процессов для плехановцев провёл индустриальный партнёр BPMSoft,2025-10
«Наука будущего — наука молодых»: триумф студента Плехановки на конкурсе с проектом по искусственному интеллекту,2025-09
«Новые материалы и технологии для устойчивого развития»: Плехановский университет провёл IV Международную конференцию по химии,2025-09
Ключевые достижения РЭУ в науке представили на заседании Учёного совета Плехановского университета,2025-09
Ключевые особенности подготовки кадров обсудили на стратегической сессии Международного форума «Биоэкономика» в Плехановском университете,2025-09
Биоэкономика как надотраслевая система для улучшения качества жизни: пленарное заседание Международного форума «Биоэкономика-2025» в Плехановском университете,2025-09
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2025-09
Перспективные проекты как шаг к научно-технологическому лидерству: заседание ректората Плехановского университета,2025-09
Через призму кинематографа: Плехановские учёные – участники семинара «Наука на экране»,2025-09
Актуальные вопросы биоэкономики затронут эксперты на международном форуме в Плехановском университете,2025-09
Плехановский университет в Дубае запускает два новых исследовательских центра в области искусственного интеллекта и нейроэкономики,2025-09
Сделайте «Шаг в науку» вместе с Плехановкой: стартует приём заявок на ежегодный конкурс,2025-09
Определить вектор будущих исследований: итоги Недели науки в Плехановском университете,2025-09
Учёные РЭУ им. Г.В. Плеханова способствуют формированию гражданской идентичности российского студенчества,2025-09
Ректор Иван Лобанов обсудил перспективы развития нового R&D Центра пищевых технологий РЭУ,2025-09
Полимерный материал для борьбы с онкологическими заболеваниями разработали учёные Плехановского университета,2025-09
Полимерный материал для борьбы с онкологическими заболеваниями разработали учёные Плехановского университета,2025-09
Анализ тенденций в бюджетно-налоговой сфере России: новый выпуск аналитического бюллетеня Научно-исследовательского объединения РЭУ,2025-09
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2025-09
Плехановские учёные создали экологичные полимеры для стимуляции роста растений,2025-09
Совместные проекты – фундамент надёжного сотрудничества: плехановские учёные проводят исследования с коллегами из Китая,2025-09
Телеканал «РОССИЯ 1»: уникальный напиток против ментальных расстройств создали в Плехановском университете,2025-09
Инновационная разработка плехановских учёных: полимерный материал для сельского хозяйства с новым составом,2025-08
Для создания суверенной биоэкономики: в Плехановском университете создан исследовательский Центр пищевых биотехнологий,2025-08
Учёные РЭУ разработали способы создания высококачественного корма для животных на основе переработки просроченного продовольствия,2025-08
"Анализ трендов денежно-кредитной системы и финансовых рынков, опыт внедрения цифровых валют: новый выпуск аналитического бюллетеня Научно-исследовательского объединения РЭУ",2025-08
Индустрия гостеприимства в цифровую эпоху: в Плехановке разработали систему оценки гостиниц,2025-08
Преподаватель Плехановки — автор учебника по машинному и глубокому обучению,2025-08
Микрозелень удовлетворит потребность в йоде и цинке: учёные РЭУ разработали новую технологию выращивания,2025-08
В Плехановском университете разрабатывают методологию расчета и моделирования социально-экономических показателей жизни в Москве,2025-08
Биоэкономика – новая реальность Плехановского университета,2025-08
В Плехановском университете обсудили возможности использования искусственного интеллекта в укреплении института семьи,2025-08
Плехановский университет победил в конкурсном отборе вузов по подготовке специалистов в сфере искусственного интеллекта,2025-08
Плехановские учёные разрабатывают единую платформу по развитию партнёрских финансов,2025-08
Дегазация как способ развития угольной промышленности: исследование учёных Плехановского университета,2025-08
В Плехановском университете разрабатывают концептуальную модель междисциплинарной подготовки кадров для биоэкономики России,2025-07
Тренды развития экономик субъектов Российской Федерации: новый выпуск аналитического бюллетеня Научно-исследовательского объединения Плехановского университета,2025-07
"Учёные РЭУ им. Г.В. Плеханова запатентовали комплекс нейросетевых моделей для определения безопасности, анализа интернет-отзывов и распознавания эмоций",2025-07
Совещание в Правительстве РФ: ректор Плехановского университета Иван Лобанов возглавил рабочую группу «Кадры» для подготовки предложений Президенту РФ,2025-07
Плехановские учёные разработали технологию улучшения дорожных покрытий,2025-07
Изменения в мировой экономике обсудили на Плехановском экономическом форуме,2025-07
Градостроительство в век новых технологий: проект плехановских учёных поможет снизить затраты и минимизировать риски при проведении строительных работ,2025-07
Ключевые события биоэкономики России: ежемесячный дайджест Плехановского университета,2025-07
Анализ тенденций в бюджетно-налоговой сфере России: новый выпуск бюллетеня Научно-исследовательского объединения РЭУ,2025-07
Использование особо ценных земель: исследование плехановских учёных меняет подход к продовольственной безопасности,2025-07
Магистранты Плехановки разработали стартап по сбору и утилизации космического мусора,2025-06
Оформить заявку и выиграть грант: открытая лекция заместителя генерального директора РНФ Андрея Блинова в Плехановском университете,2025-06
Достижения плехановских учёных: замедление разложения биополимеров с помощью озона,2025-06
Плехановские учёные исследуют роль искусственного интеллекта в образовании,2025-06
Учёный Плехановского университета Пётр Пантюхов развеял мифы о микропластике на научно-просветительском форуме,2025-06
Руководители ведущих научных институтов страны выступили с докладами на XIV Абалкинских чтениях в Плехановском университете,2025-06
Ректор РЭУ Иван Лобанов принял участие в сессии ПМЭФ с участием Министра науки и высшего образования РФ Валерия Фалькова,2025-06
Плехановский университет стал членом Общероссийского отраслевого объединения работодателей «Союз машиностроителей России»,2025-06
Борьба с нелегальной деятельностью на финансовых рынках: итоги исследования плехановских учёных,2025-06
Ключевые события биоэкономики России: годовой дайджест Плехановского университета,2025-06
Твой шаг в науку! Всё о Студенческом научном обществе Плехановского университета,2025-06
Учёный Плехановского университета Пётр Пантюхов объяснил эффект от результатов исследований микропластика на открытии медиаклуба «Экосистема»,2025-06
Твой шанс стать экспертом по нейросетям: рассказываем о Центре перспективных исследований в искусственном интеллекте РЭУ,2025-06
Научное развитие на перспективу: итоги конкурса Плехановского университета «Шаг в науку»,2025-06
"Нейросети для менеджмента и анализа данных: всё об учебно-научной лаборатории искусственного интеллекта, нейротехнологий и бизнес-аналитики Плехановки",2025-06
Новые драйверы роста российской экономики в условиях глобальных вызовов: пленарная конференция МАЭФ в Плехановке,2025-06
Полезные сладости: плехановские учёные разработали рецепты десертов для здоровья и долголетия,2025-06
Роль биоэкономики в сохранении окружающей среды: ведущие учёные страны на международной конференции в Плехановке,2025-06
"Завершён первый этап совместного проекта ИСП РАН, РЭУ и НИЦ «Курчатовский институт» «ИНТЕЛЛЕКТ»: ИИ для цифровых интегральных схем",2025-06
"Плехановские учёные выявили повышенную стабильность к высоким температурам среди материалов, наполненных древесиной",2025-06
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2025-06
Финансовый потенциал стран БРИКС оценили эксперты на конференции в Плехановке,2025-06
Проблемы и перспективы развития промышленности России определили учёные на научно-практической конференции в РЭУ им. Г.В. Плеханова,2025-06
Перспективные направления инноваций в торговле: круглый  стол Московского академического экономического форума в Плехановке,2025-05
Роль Центробанка в регулировании инфляции: новый выпуск бюллетеня Научно-исследовательского объединения РЭУ,2025-05
Учёные РЭУ им. Г.В. Плеханова создали модель для оценки инновационного развития регионов на основе ИИ,2025-05
Эксперты Плехановки о безопасности кондитерских изделий на международной конференции,2025-05
Аспирантка Плехановки – победитель конкурса на назначение стипендии Президента Российской Федерации,2025-05
Роль «мягких навыков» в создании прорывных стартапов: молодёжная сессия резидентов Бизнес-инкубатора РЭУ на VII Международном форуме «Шаг в будущее»,2025-05
Лучшие практики работы кафедр ЮНЕСКО обсудили на V Всероссийском конгрессе в Плехановском университете,2025-05
Ректор РЭУ Иван Лобанов открыл Пятый всероссийский конгресс кафедр ЮНЕСКО в Плехановском университете,2025-05
Развитие биоэкономики: перспективы и возможности использования больших данных и технологий искусственного интеллекта,2025-05
"Правительство РФ: Заместитель Председателя Правительства РФ Дмитрий Чернышенко открыл VII Международный научный форум «Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство» в Плехановском университете",2025-05
"Как внедрить передовые технологии в действие рассказал директор Института системного программирования РАН Арутюн Аветисян на форуме «Шаг в будущее: глобальный форсайт, искусственный интелект и стратегическое лидерство» в Плехановском университете",2025-05
Студент Улан-Баторского филиала РЭУ им. Г.В. Плеханова – победитель Международного конкурса научных работ молодёжи по экономике,2025-05
"«Мы просим нейросеть подумать»: Иван Оселедец, генеральный директор АНО «Институт Искусственного Интеллекта» AIRI, на VII Международном научном форуме «Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство» в Плехановке",2025-05
"Гонка за лидерство в искусственном интеллекте: дискуссионная сессия VII Международного форума «Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство» в Плехановском университете",2025-05
"Как преодолеть барьеры между искусственным и естественным интеллектом? Обсудили эксперты форума «Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство»",2025-05
"Искусственный интеллект в бизнесе и экономике: дискуссия форума «Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство»",2025-05
Глобальный форсайт по развитию искусственного интеллекта: в РЭУ ведущие учëные России обозначили стратегии будущего ИИ,2025-05
"Искусственный интеллект — ключ к социально-экономическому и технологическому развитию России. Пленарное заседание форума «Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство» в Плехановском университете",2025-05
"«Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство»: открыт VII Международный научный форум в Плехановском университете",2025-05
Искусственный интеллект в образовании: исследование плехановских учёных,2025-05
Искусственный интеллект через призму времени: в Плехановке анализируют развитие информационных технологий и математические методы в экономике,2025-05
